studyId,pmid,pmcid,doi,status,errmsg
,7799047,,,error,Identifier not found in PMC
,15128893,,,error,Identifier not found in PMC
,15128894,,,error,Identifier not found in PMC
,16080176,,,error,Identifier not found in PMC
,16905242,,,error,Identifier not found in PMC
,19176454,PMC2724854,10.1093/jnci/djn460,ok,
,19735873,PMC3038688,10.1016/j.ijrobp.2009.06.014,ok,
,19931738,,,error,Identifier not found in PMC
,21217399,,,error,Identifier not found in PMC
,21685461,,,error,Identifier not found in PMC
,23770567,PMC3919509,10.1038/nature12213,ok,
,23999436,PMC3754257,10.1172/JCI68340,ok,
,26270858,,,error,Identifier not found in PMC
,26143202,PMC4965359,10.1016/j.neuroimage.2015.06.076,ok,
,26738797,PMC4794335,10.1126/scitranslmed.aad0293,ok,
,26978244,PMC4792175,10.1038/sdata.2016.18,ok,
,27154913,PMC4930691,10.1158/1078-0432.CCR-16-0069,ok,
,27389358,PMC4936733,10.1371/journal.pbio.1002506,ok,
,27698471,PMC5059467,10.1038/ncomms13019,ok,
,27806376,PMC5465819,10.1038/nature20123,ok,
,27826200,PMC5096771,10.2147/OTT.S99826,ok,
,28045614,PMC5455151,10.1200/JOP.2016.018846,ok,
,28068239,,,error,Identifier not found in PMC
,28506693,,,error,Identifier not found in PMC
,28885881,,,error,Identifier not found in PMC
,29674595,PMC5949869,10.1126/science.aao4750,ok,
,29898992,PMC6532976,10.1158/1078-0432.CCR-17-3427,ok,
,29902176,PMC6002019,10.1371/journal.pcbi.1006144,ok,
,30280985,PMC6322391,10.1667/RR15121.1,ok,
,30375502,,,error,Identifier not found in PMC
,30397353,PMC6286242,10.1038/s41591-018-0232-2,ok,
,30471129,PMC7792987,10.1002/mp.13295,ok,
,31015133,PMC6598851,10.1016/j.radonc.2019.03.032,ok,
,31192355,,,error,Identifier not found in PMC
,31327527,PMC6703186,10.1016/j.cell.2019.06.024,ok,
,31307024,,,error,Identifier not found in PMC
,31732968,PMC8177718,10.1002/ijc.32793,ok,
,32141618,PMC7762616,10.1002/mp.14121,ok,
,32302564,PMC7286095,10.1016/j.cell.2020.03.034,ok,
,32407878,,,error,Identifier not found in PMC
,32663469,PMC7479515,10.1016/j.ccell.2020.06.004,ok,
,32683683,PMC7722002,10.3322/caac.21626,ok,
,32800803,,,error,Identifier not found in PMC
,32946775,,,error,Identifier not found in PMC
,33305538,PMC7856512,10.1002/acm2.13121,ok,
,33598943,,,error,Identifier not found in PMC
,33704353,PMC7953335,10.1001/jamaoncol.2021.0057,ok,
,33820781,PMC8338789,10.1158/1078-0432.CCR-20-4450,ok,
,34090651,PMC8189311,10.1016/j.semradonc.2021.03.007,ok,
,34493726,PMC8423786,10.1038/s41467-021-24870-7,ok,
,34556866,,,error,Identifier not found in PMC
,35831494,,,error,Identifier not found in PMC
,37059065,PMC10511214,10.1016/j.cell.2023.03.003,ok,
,37115507,PMC10687742,10.1158/1078-0432.CCR-23-0376,ok,
,37119971,PMC10220275,10.1016/j.mcpro.2023.100561,ok,
,37646491,PMC11747767,10.1002/mp.16704,ok,
,37939844,,,error,Identifier not found in PMC
,38780927,PMC11117153,10.1001/jamaoncol.2024.1143,ok,
