studyId,pmid
csf_msk_2024,39289779
ctcl_columbia_2015,26551667
desm_broad_2015,26343386
difg_glass,35649412
difg_glass,38117484
difg_glass_2019,31748746
difg_msk_2023,37910594
dlbc_broad_2012,22343534
dlbc_tcga_pan_can_atlas_2018,29596782
dlbc_tcga_pan_can_atlas_2018,29617662
dlbc_tcga_pan_can_atlas_2018,29622463
dlbc_tcga_pan_can_atlas_2018,29625048
dlbc_tcga_pan_can_atlas_2018,29625049
dlbc_tcga_pan_can_atlas_2018,29625050
dlbc_tcga_pan_can_atlas_2018,29625055
dlbc_tcga_pan_can_atlas_2018,29850653
dlbc_tcga_pan_can_atlas_2018,32214244
dlbc_tcga_pan_can_atlas_2018,36334560
dlbcl_dfci_2018,29713087
dlbcl_duke_2017,28985567
egc_msk_2017,29122777
egc_msk_2023,37699004
egc_msk_tp53_ccr_2022,35377946
egc_mskcc_2020,33795256
egc_tmucih_2015,25583476
egc_trap_ccr_msk_2023,37406106
egc_trap_msk_2020,32437664
es_dfarber_broad_2014,25186949
es_dsrct_msk_2023,38335254
es_iocurie_2014,25223734
esca_broad,23525077
esca_tcga_pan_can_atlas_2018,29596782
esca_tcga_pan_can_atlas_2018,29617662
esca_tcga_pan_can_atlas_2018,29622463
esca_tcga_pan_can_atlas_2018,29625048
esca_tcga_pan_can_atlas_2018,29625049
esca_tcga_pan_can_atlas_2018,29625050
esca_tcga_pan_can_atlas_2018,29625055
esca_tcga_pan_can_atlas_2018,29850653
esca_tcga_pan_can_atlas_2018,32214244
esca_tcga_pan_can_atlas_2018,36334560
escc_icgc,24670651
escc_ucla_2014,24686850
gbc_msk_2018,30427539
gbc_mskcc_2022,36228155
gbc_shanghai_2014,24997986
gbm_columbia_2019,30742119
gbm_cptac_2021,33577785
gbm_iatlas_prins_2019,30742122
gbm_mayo_pdx_sarkaria_2019,31852831
gbm_tcga_pan_can_atlas_2018,29596782
gbm_tcga_pan_can_atlas_2018,29617662
gbm_tcga_pan_can_atlas_2018,29622463
gbm_tcga_pan_can_atlas_2018,29625048
gbm_tcga_pan_can_atlas_2018,29625049
gbm_tcga_pan_can_atlas_2018,29625050
gbm_tcga_pan_can_atlas_2018,29625055
gbm_tcga_pan_can_atlas_2018,29850653
gbm_tcga_pan_can_atlas_2018,30643250
gbm_tcga_pan_can_atlas_2018,32214244
gbm_tcga_pan_can_atlas_2018,36334560
gbm_tcga_pub,18772890
gbm_tcga_pub2013,24120142
gct_msk_2016,27646943
gct_msk_2020,32897884
gist_msk_2022,36593350
gist_msk_2023,37477937
glioma_msk_2018,30675060
glioma_mskcc_2019,31263031
hcc_clca_2024,38355797
hcc_inserm_fr_2015,25822088
hcc_jcopo_msk_2023,37769223
hcc_meric_2021,35508466
hcc_msk_2024,38864854
hcc_msk_venturaa_2018,30052636
hcc_mskimpact_2018,30373752
hccihch_pku_2019,31130341
hgsoc_msk_2021,34819508
histiocytosis_cobi_msk_2019,30867592
hnc_mskcc_2016,27442865
hnsc_a5consortium_2025,40097403
hnsc_broad,21798893
hnsc_jhu,21798897
hnsc_mdanderson_2013,23619168
hnsc_tcga_pan_can_atlas_2018,29596782
hnsc_tcga_pan_can_atlas_2018,29617662
hnsc_tcga_pan_can_atlas_2018,29622463
hnsc_tcga_pan_can_atlas_2018,29625048
hnsc_tcga_pan_can_atlas_2018,29625049
hnsc_tcga_pan_can_atlas_2018,29625050
hnsc_tcga_pan_can_atlas_2018,29625055
hnsc_tcga_pan_can_atlas_2018,29850653
hnsc_tcga_pan_can_atlas_2018,30643250
hnsc_tcga_pan_can_atlas_2018,32214244
hnsc_tcga_pan_can_atlas_2018,36334560
hnsc_tcga_pub,25631445
ihch_ismms_2015,25608663
ihch_msk_2021,33765338
ihch_mskcc_2020,33963001
ihch_smmu_2014,25526346
ilc_msk_2023,38347189
kich_tcga_pan_can_atlas_2018,29596782
kich_tcga_pan_can_atlas_2018,29617662
kich_tcga_pan_can_atlas_2018,29622463
kich_tcga_pan_can_atlas_2018,29625048
kich_tcga_pan_can_atlas_2018,29625049
kich_tcga_pan_can_atlas_2018,29625050
kich_tcga_pan_can_atlas_2018,29625055
kich_tcga_pan_can_atlas_2018,29850653
kich_tcga_pan_can_atlas_2018,32214244
kich_tcga_pan_can_atlas_2018,36334560
kich_tcga_pub,25155756
kirc_bgi,22138691
kirc_tcga_pan_can_atlas_2018,29596782
kirc_tcga_pan_can_atlas_2018,29617662
kirc_tcga_pan_can_atlas_2018,29622463
kirc_tcga_pan_can_atlas_2018,29625048
kirc_tcga_pan_can_atlas_2018,29625049
kirc_tcga_pan_can_atlas_2018,29625050
kirc_tcga_pan_can_atlas_2018,29625055
kirc_tcga_pan_can_atlas_2018,29850653
kirc_tcga_pan_can_atlas_2018,30643250
kirc_tcga_pan_can_atlas_2018,32214244
kirc_tcga_pan_can_atlas_2018,36334560
kirc_tcga_pub,23792563
kirp_tcga_pan_can_atlas_2018,29596782
kirp_tcga_pan_can_atlas_2018,29617662
kirp_tcga_pan_can_atlas_2018,29622463
kirp_tcga_pan_can_atlas_2018,29625048
kirp_tcga_pan_can_atlas_2018,29625049
kirp_tcga_pan_can_atlas_2018,29625050
kirp_tcga_pan_can_atlas_2018,29625055
kirp_tcga_pan_can_atlas_2018,29850653
kirp_tcga_pan_can_atlas_2018,30643250
kirp_tcga_pan_can_atlas_2018,32214244
kirp_tcga_pan_can_atlas_2018,36334560
laml_tcga_pan_can_atlas_2018,29596782
laml_tcga_pan_can_atlas_2018,29617662
laml_tcga_pan_can_atlas_2018,29622463
laml_tcga_pan_can_atlas_2018,29625048
laml_tcga_pan_can_atlas_2018,29625049
laml_tcga_pan_can_atlas_2018,29625050
laml_tcga_pan_can_atlas_2018,29625055
laml_tcga_pan_can_atlas_2018,29850653
laml_tcga_pan_can_atlas_2018,32214244
laml_tcga_pan_can_atlas_2018,36334560
laml_tcga_pub,23634996
lcll_broad_2013,23415222
lgg_ctf_synodos_2025,33585982
lgg_tcga_pan_can_atlas_2018,29596782
lgg_tcga_pan_can_atlas_2018,29617662
lgg_tcga_pan_can_atlas_2018,29622463
lgg_tcga_pan_can_atlas_2018,29625048
lgg_tcga_pan_can_atlas_2018,29625049
lgg_tcga_pan_can_atlas_2018,29625050
lgg_tcga_pan_can_atlas_2018,29625055
lgg_tcga_pan_can_atlas_2018,29850653
lgg_tcga_pan_can_atlas_2018,30643250
lgg_tcga_pan_can_atlas_2018,32214244
lgg_tcga_pan_can_atlas_2018,36334560
lgg_ucsf_2014,24336570
lgggbm_tcga_pub,26824661
lgsoc_mapk_msk_2022,35443055
liad_inserm_fr_2014,24735922
lihc_amc_prv,24798001
lihc_riken,22634756
lihc_tcga_pan_can_atlas_2018,29596782
lihc_tcga_pan_can_atlas_2018,29617662
lihc_tcga_pan_can_atlas_2018,29622463
lihc_tcga_pan_can_atlas_2018,29625048
lihc_tcga_pan_can_atlas_2018,29625049
lihc_tcga_pan_can_atlas_2018,29625050
lihc_tcga_pan_can_atlas_2018,29625055
lihc_tcga_pan_can_atlas_2018,29850653
lihc_tcga_pan_can_atlas_2018,30643250
lihc_tcga_pan_can_atlas_2018,32214244
lihc_tcga_pan_can_atlas_2018,36334560
lms_msk_2024,38488807
luad_broad,22980975
luad_cas_2020,32649877
luad_cptac_2020,32649874
luad_msk_npjpo_2021,34290393
luad_mskcc_2015,25765070
luad_mskcc_2020,32791233
luad_mskcc_2023_met_organotropism,37084736
luad_oncosg_2020,32015526
luad_tcga_pan_can_atlas_2018,29596782
luad_tcga_pan_can_atlas_2018,29617662
luad_tcga_pan_can_atlas_2018,29622463
luad_tcga_pan_can_atlas_2018,29625048
luad_tcga_pan_can_atlas_2018,29625049
luad_tcga_pan_can_atlas_2018,29625050
luad_tcga_pan_can_atlas_2018,29625055
luad_tcga_pan_can_atlas_2018,29850653
luad_tcga_pan_can_atlas_2018,30643250
luad_tcga_pan_can_atlas_2018,32214244
luad_tcga_pan_can_atlas_2018,36334560
luad_tcga_pub,25079552
luad_tsp,18948947
lung_msk_2017,28336552
lung_msk_mind_2020,36038778
lung_nci_2022,34493867
lung_pdx_msk_2021,35440124
lung_smc_2016,27634761
lusc_cptac_2021,34358469
lusc_tcga_pan_can_atlas_2018,29596782
lusc_tcga_pan_can_atlas_2018,29617662
lusc_tcga_pan_can_atlas_2018,29622463
lusc_tcga_pan_can_atlas_2018,29625048
lusc_tcga_pan_can_atlas_2018,29625049
lusc_tcga_pan_can_atlas_2018,29625050
lusc_tcga_pan_can_atlas_2018,29625055
lusc_tcga_pan_can_atlas_2018,29850653
lusc_tcga_pan_can_atlas_2018,30643250
lusc_tcga_pan_can_atlas_2018,32214244
lusc_tcga_pan_can_atlas_2018,36334560
lusc_tcga_pub,22960745
lymphoma_cellline_msk_2020,33067607
mbc_msk_2021,33863915
mbl_broad_2012,22820256
mbl_dkfz_2017,28726821
mbl_icgc,22832583
mbl_pcgp,22722829
mbl_sickkids_2016,26760213
mbn_msk_2024,38497151
mbn_sfu_2023,36201743
mcl_idibips_2013,24145436
mds_mskcc_2020,24030381
mds_mskcc_2020,27276561
mds_mskcc_2020,30333627
mds_tokyo_2011,21909114
mel_dfci_2019,31792460
mel_iatlas_gide_2019,30753825
mel_iatlas_hugo_ucla_2016,26997480
mel_iatlas_liu_2019,31792460
mel_iatlas_riaz_nivolumab_2017,29033130
mel_mskimpact_2020,33509808
mel_tsam_liang_2017,28373299
mel_ucla_2016,26997480
meso_tcga_pan_can_atlas_2018,29596782
meso_tcga_pan_can_atlas_2018,29617662
meso_tcga_pan_can_atlas_2018,29622463
meso_tcga_pan_can_atlas_2018,29625048
meso_tcga_pan_can_atlas_2018,29625049
meso_tcga_pan_can_atlas_2018,29625050
meso_tcga_pan_can_atlas_2018,29625055
meso_tcga_pan_can_atlas_2018,29850653
meso_tcga_pan_can_atlas_2018,32214244
meso_tcga_pan_can_atlas_2018,36334560
metastatic_solid_tumors_mich_2017,28783718
mixed_allen_2018,30150660
mixed_cfdna_msk_2020,34059130
mixed_impact_subset_2022,36044468
mixed_kunga_msk_2022,35585047
mixed_msk_tcga_2021,34635660
mixed_pipseq_2017,28007021
mixed_selpercatinib_2020,35304457
mm_broad,24434212
mng_utoronto_2021,34433969
mnm_washu_2016,27959731
mpn_cimr_2013,24325359
mpnst_mskcc,25240281
mrt_bcgsc_2016,26977886
msk_access_2021,34145282
msk_ch_2020,33106634
msk_ch_2023,38147626
msk_ch_ped_2021,35078859
msk_chord_2024,39506116
msk_ctdna_vte_2024,39147831
msk_impact_2017,28481359
msk_impact_50k_2026,41895280
msk_met_2021,35120664
msk_spectrum_tme_2022,36517593
mtnn_msk_2022,37078708
nbl_amc_2012,22367537
nbl_broad_2013,23334666
nbl_msk_2023,37169874
nbl_ucologne_2015,26466568
nccrcc_genentech_2014,25401301
nepc_wcm_2016,26855148
nfib_ctf_biobank_2025,33585982
nhl_bcgsc_2011,21796119
nhl_bcgsc_2013,23699601
normal_skin_fibroblast_2024,39091884
normal_skin_keratinocytes_2024,39091884
